2825,"Iberworld",17
1401,"Belair Airlines",17
9620,"Gabon Airlines",17
2881,"Interair South Africa",16
3734,"Northwestern Air",16
9666,"Virgin Pacific",16
13200,"Fuji Dream Airlines",16
2948,"Islas Airways",16
4735,"Santa Barbara Airlines",16
1784,"Cirrus Airlines",16
239,"Air Jamaica",16
4438,"Skynet Airlines",16
3811,"Orient Thai Airlines",16
1688,"Centavia",16
3437,"Maya Island Air",16
3466,"Mesa Airlines",16
3123,"Kenmore Air",15
11873,"Euroline",15
4822,"Shuttle America",15
4781,"Skynet Asia Airways",15
2748,"Hello",15
1143,"Aeropelican Air Services",14
2916,"Intersky",14
3589,"Nasair",14
3411,"Martinair",14
10675,"Sharp Airlines",14
5083,"Turkmenistan Airlines",14
76,"ADC Airlines",14
112,"Astraeus",14
3432,"Maxair",14
16133,"Yeti Airways",14
4475,"South East Asian Airlines",14
876,"Air Finland",14
2954,"Israir",14
10737,"ALAK",14
3110,"Kavminvodyavia",14
2409,"Fly Air",13
4752,"Surinam Airways",13
5085,"Tuninter",13
13108,"Maldivian",13
341,"Air North Charter - Canada",13
3721,"Northern Dene Airways",13
246,"Amerijet International",13
3342,"L",13
3465,"Merpati Nusantara Airlines",13
5134,"Tassili Airlines",13
10094,"Voronezhskie Airlanes",12
1266,"Avient Aviation",12
1844,"Comores Airlines",12
817,"Air Madrid",12
3781,"Omni Air International",12
306,"Air Malawi",12
2750,"Helvetic Airways",12
11741,"Air Antilles Express",12
3850,"Pacific Airlines",12
3349,"MasAir",12
3618,"Nauru Air Corporation",12
4234,"Air Rarotonga",12
4896,"Thomas Cook Airlines",12
3857,"Pacific East Asia Cargo Airlines",12
227,"Aero Services Executive",12
4596,"Samara Airlines",12
16149,"Windward Islands Airways",12
11814,"SmartLynx Airlines",12
1034,"Aerolane",12
4751,"Slovak Airlines",12
2418,"FlyLal",11
1338,"Aerolineas Galapagos (Aerogal)",11
146,"Air Salone",11
179,"Aeroper",10
881,"Atlantic Airways",10
13088,"NordStar Airlines",10
9018,"1-2-go",10
225,"Air Tahiti Nui",10
5002,"Tiara Air",10
1508,"Berjaya Air",10
4742,"Sierra National Airlines",10
2950,"Islena De Inversiones",10
4066,"Proflight Commuter Services",10
4720,"Skybus Airlines",10
2320,"Falcon Aviation",10
11763,"Peruvian Airlines",10
3805,"Orenburg Airlines",10
386,"Aero Flight",10
3393,"Mango",10
13089,"Joy Air",10
3354,"MIAT Mongolian Airlines",10
15953,"JobAir",10
3701,"North Coast Aviation",10
4270,"Royal Phnom Penh Airways",10
2958,"Itek Air",10
3201,"Aero 2000",10
11794,"Catovair",10
1666,"Caribbean Star Airlines",10
9829,"Canadian National Airways",10
16415,"Camair-co",9
3199,"LAI - Linea Aerea IAACA",9
16262,"Fly Colombia ( Interliging Flights )",9
3783,"Omskavia Airline",8
2692,"Hawkair",8
